Jurisdiction,ISO2,Jurisdiction_iso3,Rank,FSI_Value,FSI_Share,Global_Scale_Weight,Secrecy_Score,KI1,KI2,KI3,KI4,KI5,KI6,KI7,KI8,KI9,KI10,KI11,KI12,KI13,KI14,KI15,KI16,KI17,KI18,KI19,KI20,KIcat1,KIcat2,KIcat3,KIcat4
United States,US,USA,1,1950.78,0.05736020189,0.2577725649,67.425,31,100,75,100,100,100,100,100,90,75,15,0,30,100,50,20,36,100,100,26.5,81.2,93,35.83333333,65.625
Switzerland,CH,CHE,2,1167.07,0.03431613951,0.03913950175,70.05,60,100,100,87.5,100,100,100,75,100,75,75,75,100,100,75,20,35,0,0,23.5,89.5,90,74.16666667,14.625
Singapore,SG,SGP,3,1166.7,0.0343052183,0.05644730851,67.25,30,50,75,95,95,100,100,100,100,100,62.5,75,100,100,75,40,27,3,0,17.5,69,100,75.41666667,11.875
Hong Kong,HK,HKG,4,926.78,0.02725074765,0.03870046139,64.95,61,50,90,100,100,90,100,90,100,75,75,37.5,100,100,50,20,32,11,0,17.5,80.2,91,63.75,15.125
